Tag / Module,HTTP Method,Endpoint Path,Summary,Description,Parameters,Request Body,Responses,Operation ID,Deprecated
System Diagnostics,GET,/api/v1/health,Multi-Component System Health Check,"Evaluates the connectivity and latency across all core infrastructure components: - **PostgreSQL Database**: Executes a lightweight verification query (`SELECT 1`). - **Redis Cache & Queue**: Verifies connectivity via the ARQ Redis connection pool. - **MinIO Object Storage**: Performs a bucket listing check to verify S3 storage accessibility. - **Label Studio**: Tests HTTP connectivity against the configured Label Studio server endpoint.  Returns an aggregated status summary (`healthy`, `degraded`, or `unhealthy`) alongside detailed per-component metrics.",-,-,HTTP 200: System health evaluation completed | HTTP 500: Internal server error occurred during health inspection,check_system_health_api_v1_health_get,No
Student Management,GET,/api/v1/students,List All Students,Retrieves a paginated list of student records from PostgreSQL. Supports offset pagination via `skip` and `limit` query parameters.,"skip (query, integer, Optional); limit (query, integer, Optional)",-,HTTP 200: List of students retrieved successfully | HTTP 422: Validation Error,list_students_api_v1_students_get,No
Student Management,POST,/api/v1/students,Create a New Student Record,"Persists a new student record into the PostgreSQL database.  - **name**: Full student name (required, 2-100 characters). - **age**: Student age in years (optional, 1-120). - **major**: Academic major / department (optional).",-,application/json,HTTP 201: Student created successfully | HTTP 400: Validation error or invalid input payload | HTTP 500: Database persistence failure | HTTP 422: Validation Error,create_student_api_v1_students_post,No
Student Management,GET,/api/v1/students/{student_id},Get Student by ID,Retrieves the complete profile of a single student using their unique integer ID. Returns `404 Not Found` if no student exists with the provided ID.,"student_id (path, integer, Required)",-,HTTP 200: Student record found | HTTP 404: Student record not found | HTTP 422: Validation Error,get_student_api_v1_students__student_id__get,No
Student Management,PUT,/api/v1/students/{student_id},Update Student Record,Modifies one or more attributes of an existing student record in PostgreSQL. Only fields included in the request body will be updated.,"student_id (path, integer, Required)",application/json,HTTP 200: Student record updated successfully | HTTP 404: Student not found for update | HTTP 422: Validation Error,update_student_api_v1_students__student_id__put,No
Student Management,DELETE,/api/v1/students/{student_id},Delete Student Record,Deletes a student record permanently from the PostgreSQL database.,"student_id (path, integer, Required)",-,HTTP 200: Student record deleted successfully | HTTP 404: Student not found for deletion | HTTP 422: Validation Error,delete_student_api_v1_students__student_id__delete,No
MinIO Object Storage,GET,/api/v1/storage/buckets,List Storage Buckets,Lists all accessible buckets in the MinIO instance along with their creation timestamps and versioning status.,-,-,HTTP 200: Buckets retrieved successfully | HTTP 500: S3 connection error,list_buckets_api_v1_storage_buckets_get,No
MinIO Object Storage,POST,/api/v1/storage/buckets/{bucket_name}/versioning,Configure Bucket Versioning,"Enables or suspends S3 object versioning for the specified MinIO bucket. When versioning is enabled, modifying or re-uploading an object creates a new version ID rather than overwriting existing data.","bucket_name (path, string, Required); enable (query, boolean, Optional)",-,HTTP 200: Bucket versioning configuration updated successfully | HTTP 500: MinIO error setting versioning | HTTP 422: Validation Error,configure_versioning_api_v1_storage_buckets__bucket_name__versioning_post,No
MinIO Object Storage,POST,/api/v1/storage/upload,Upload File to MinIO,"Uploads a binary file stream into MinIO S3 storage.  - **file**: Multipart file payload. - **object_name**: Custom destination path inside bucket (optional, defaults to original filename). - **bucket_name**: Target MinIO bucket (optional, defaults to configured `my-photos` bucket).  If bucket versioning is enabled, MinIO automatically attaches a unique `version_id` to the response.",-,multipart/form-data,HTTP 201: File uploaded successfully | HTTP 400: Invalid file or empty payload | HTTP 500: MinIO upload failure | HTTP 422: Validation Error,upload_file_api_v1_storage_upload_post,No
MinIO Object Storage,GET,/api/v1/storage/objects,List Objects in Bucket,Retrieves the list of objects stored inside a MinIO bucket. Supports filtering by object prefix (e.g. `datasets/images/`).,"bucket_name (query, any, Optional); prefix (query, string, Optional)",-,HTTP 200: Objects listed successfully | HTTP 422: Validation Error,list_objects_api_v1_storage_objects_get,No
MinIO Object Storage,GET,/api/v1/storage/objects/{object_name}/versions,List Object Version History,"Retrieves all historical version revisions for a given object key in MinIO. Allows inspecting all previous revisions, their sizes, timestamps, and current active status.","object_name (path, string, Required); bucket_name (query, any, Optional)",-,HTTP 200: Version history retrieved | HTTP 404: Object not found | HTTP 422: Validation Error,list_object_versions_api_v1_storage_objects__object_name__versions_get,No
